id,nome,empreendedor,uf,municipio,latitude,longitude,categoria_de_risco_-_cri,dano_potencial_associado_-_dpa,metodo_construtivo_da_back_up_dam
8482,Dique - Pilha de Rejeito,EXTRATIVA MINERAL S/A,MG,NOVA LIMA,-20.110225,-43.9088,Média,Baixa,Não se aplica a esse tipo de barragem
8256,Barragem de Contenção de Sólidos Carreados,EXTRATIVA MINERAL S/A,MG,NOVA LIMA,-20.110016666666667,-43.90324722222222,Média,Baixa,Não se aplica a esse tipo de barragem
8262,BARRAGEM B1,CIMENTO TUPI S.A. EM RECUPERACAO JUDICIAL,MG,CARANAÍBA,-20.903388888888887,-43.803888888888885,Média,Baixa,Não se aplica a esse tipo de barragem
8498,Barragem Captação de Água,MINERACAO USIMINAS S.A.,MG,ITATIAIUÇU,-20.16925,-44.45088055555556,Média,Baixa,Não se aplica a esse tipo de barragem
8509,Dique 01 Serra Azul - Dique Vai e Volta 1,MINERACAO USIMINAS S.A.,MG,MATEUS LEME,-20.129083333333334,-44.42019444444444,Média,Baixa,Não se aplica a esse tipo de barragem
8513,Dique 02 Serra Azul - Dique Vai e Volta 2,MINERACAO USIMINAS S.A.,MG,MATEUS LEME,-20.130277777777778,-44.4225,Média,Baixa,Não se aplica a esse tipo de barragem
8514,Dique 03 Serra Azul - Dique Vai e Volta 3,MINERACAO USIMINAS S.A.,MG,MATEUS LEME,-20.130736111111112,-44.42670277777778,Baixa,Baixa,Não se aplica a esse tipo de barragem
8515,Dique 06,MINERACAO USIMINAS S.A.,MG,ITATIAIUÇU,-20.161916666666666,-44.456250000000004,Média,Baixa,Não se aplica a esse tipo de barragem
8516,Dique 13 - Pains,MINERACAO USIMINAS S.A.,MG,MATEUS LEME,-20.12441388888889,-44.40018333333333,Média,Baixa,Não se aplica a esse tipo de barragem
8517,Dique 14,MINERACAO USIMINAS S.A.,MG,ITATIAIUÇU,-20.16247222222222,-44.44738888888889,Média,Baixa,Não se aplica a esse tipo de barragem
8519,Dique Couves (MUSA),MINERACAO USIMINAS S.A.,MG,ITATIAIUÇU,-20.15588888888889,-44.44708333333333,Baixa,Baixa,Não se aplica a esse tipo de barragem
8520,Dique da Divisa,MINERACAO USIMINAS S.A.,MG,ITATIAIUÇU,-20.136333333333333,-44.405249999999995,Média,Baixa,Não se aplica a esse tipo de barragem
8521,Dique da Oficina,MINERACAO USIMINAS S.A.,MG,MATEUS LEME,-20.125333333333334,-44.41047222222222,Média,Baixa,Não se aplica a esse tipo de barragem
8522,Dique da Oficina II,MINERACAO USIMINAS S.A.,MG,MATEUS LEME,-20.12625,-44.4135,Média,Baixa,Não se aplica a esse tipo de barragem
8523,Dique Flotação,MINERACAO USIMINAS S.A.,MG,ITATIAIUÇU,-20.145916666666665,-44.40547222222222,Baixa,Baixa,Não se aplica a esse tipo de barragem
